DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês Notificação
Período:2013
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1972;2435;1764;750;369;157;116;82;75;115;320;331;8486
"12 Acre";750;608;445;192;84;83;68;21;23;21;72;103;2470
"13 Amazonas";2716;3549;3376;2926;1598;953;642;421;293;317;309;456;17556
"14 Roraima";49;54;43;52;127;113;108;75;119;79;69;45;933
"15 Pará";1411;1972;1908;1687;787;241;107;88;96;115;259;270;8941
"16 Amapá";243;199;270;491;218;52;37;58;34;39;32;10;1683
"17 Tocantins";1343;1711;1595;1480;976;459;190;142;105;114;267;322;8704
"21 Maranhão";243;475;510;636;546;322;192;183;167;78;64;74;3490
"22 Piauí";251;437;752;853;736;691;557;249;179;115;77;108;5005
"23 Ceará";828;1596;2326;4738;4955;4278;4368;3542;1392;725;645;582;29975
"24 Rio Grande do Norte";869;1040;1457;2492;2490;2033;1900;1650;955;687;671;421;16665
"25 Paraíba";399;886;1204;1838;2321;1820;1684;1237;729;484;275;237;13114
"26 Pernambuco";227;339;645;1272;1419;928;622;475;374;402;260;199;7162
"27 Alagoas";228;324;519;961;1977;1508;1385;859;763;721;765;592;10602
"28 Sergipe";32;48;47;86;144;112;69;48;37;70;73;57;823
"29 Bahia";5122;10648;16784;13620;6651;2715;1440;877;730;593;625;587;60392
"31 Minas Gerais";32104;56053;135922;139431;35744;8847;2107;813;936;799;952;1539;415247
"32 Espírito Santo";6207;9362;15793;14414;9995;4094;2307;1281;960;714;636;720;66483
"33 Rio de Janeiro";13258;29534;66212;61334;24884;6611;2380;1093;833;677;718;985;208519
"35 São Paulo";10329;26160;66483;72124;28720;7552;2000;776;460;461;628;713;216406
"41 Paraná";4836;11847;20380;18985;6914;1551;290;103;90;137;300;499;65932
"42 Santa Catarina";54;59;60;85;26;9;1;3;1;1;3;3;305
"43 Rio Grande do Sul";31;69;146;121;47;12;6;7;1;3;4;1;448
"50 Mato Grosso do Sul";22646;22894;16817;9482;3805;941;462;196;150;163;259;331;78146
"51 Mato Grosso";8065;7828;7192;5046;2431;1051;658;423;338;453;700;758;34943
"52 Goiás";18232;26520;31182;25067;13113;5313;2137;1461;1111;1574;2092;2783;130585
"53 Distrito Federal";590;976;2981;4573;4695;2557;1477;825;381;205;186;294;19740
"Total";133035;217623;396813;384736;155772;55003;27310;16988;11332;9862;11261;13020;1432755
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
