DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês notificação
Período:2018
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";94;78;46;61;68;29;30;27;17;36;34;19;539
"12 Acre";493;408;394;317;326;202;186;223;434;1162;1832;1306;7283
"13 Amazonas";258;265;331;309;220;187;173;164;121;119;95;83;2325
"14 Roraima";1;-;2;1;2;5;14;28;10;23;12;13;111
"15 Pará";262;412;739;650;440;251;135;257;152;101;150;226;3775
"16 Amapá";60;77;122;150;75;43;38;59;36;64;22;29;775
"17 Tocantins";168;156;285;417;364;147;62;65;55;78;306;764;2867
"21 Maranhão";203;198;224;374;588;150;85;94;71;69;64;47;2167
"22 Piauí";219;181;251;169;281;262;172;129;91;59;53;75;1942
"23 Ceará";244;445;657;884;440;345;347;286;182;156;91;98;4175
"24 Rio Grande do Norte";366;655;1721;4069;4591;3712;3079;2259;1296;831;733;495;23807
"25 Paraíba";353;368;587;1976;2715;1868;1130;835;336;333;269;237;11007
"26 Pernambuco";485;574;1056;2026;1573;1178;906;883;529;723;686;612;11231
"27 Alagoas";160;139;129;180;286;307;229;206;135;149;144;148;2212
"28 Sergipe";9;11;18;22;42;20;30;19;11;18;26;11;237
"29 Bahia";607;609;1060;1707;1787;920;539;511;347;444;596;606;9733
"31 Minas Gerais";1924;2207;4095;7343;4572;1869;877;555;501;785;1348;3099;29175
"32 Espírito Santo";396;427;971;1398;1255;1183;999;782;453;609;578;1216;10267
"33 Rio de Janeiro";1106;1510;2652;2956;2033;1136;937;581;327;402;447;763;14850
"35 São Paulo";1168;1269;1971;2388;2324;1134;793;577;438;780;1615;3871;18328
"41 Paraná";170;161;126;256;191;66;69;35;32;103;71;144;1424
"42 Santa Catarina";16;20;18;32;30;10;5;4;8;9;13;20;185
"43 Rio Grande do Sul";18;21;22;14;8;6;4;3;4;8;8;12;128
"50 Mato Grosso do Sul";462;315;427;314;298;161;120;77;62;116;747;2518;5617
"51 Mato Grosso";1367;1338;1212;850;674;382;242;186;136;142;288;465;7282
"52 Goiás";7561;10563;15106;16848;15685;7158;2966;2343;1870;2740;3762;4943;91545
"53 Distrito Federal";220;205;214;274;315;198;131;90;99;137;216;374;2473
"Total";18390;22612;34436;45985;41183;22929;14298;11278;7753;10196;14206;22194;265460
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
