DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês Notificação
Período:2007
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";219;338;263;184;123;94;78;61;85;207;418;1058;3128
"12 Acre";48;97;99;105;30;10;6;2;2;7;39;81;526
"13 Amazonas";32;82;180;153;127;139;188;110;107;132;349;339;1938
"14 Roraima";168;65;31;41;71;60;116;111;63;61;81;45;913
"15 Pará";762;1354;2311;1892;1002;495;460;486;512;1010;1543;2131;13958
"16 Amapá";414;515;915;650;575;180;87;74;66;58;53;44;3631
"17 Tocantins";1467;2570;2877;1665;1170;627;278;194;157;426;660;729;12820
"21 Maranhão";1228;2320;2853;2042;2015;1058;717;396;180;190;184;162;13345
"22 Piauí";667;643;817;1118;2214;2865;823;350;162;104;65;78;9906
"23 Ceará";1549;2596;3110;4959;5911;5501;3627;2388;1362;1351;1073;968;34395
"24 Rio Grande do Norte";410;567;1343;1440;1396;1506;1777;1326;887;840;697;878;13067
"25 Paraíba";228;732;1600;2331;1817;941;1072;753;346;349;311;308;10788
"26 Pernambuco";690;1236;2612;5267;5190;3244;1993;869;410;417;316;356;22600
"27 Alagoas";236;250;558;601;1424;1469;1845;1698;836;616;580;510;10623
"28 Sergipe";30;52;76;211;112;90;287;159;97;92;88;137;1431
"29 Bahia";669;725;1674;1509;1134;648;665;574;300;467;537;583;9485
"31 Minas Gerais";1549;2728;7216;8594;5444;1321;435;158;110;247;324;429;28555
"32 Espírito Santo";457;819;973;1510;1321;607;484;170;114;102;132;126;6815
"33 Rio de Janeiro";2033;4434;10131;13503;10640;3963;2512;1294;706;1121;2116;3964;56417
"35 São Paulo";4173;13230;33464;34763;20682;3623;1535;607;418;590;1101;1123;115309
"41 Paraná";474;1804;7640;10868;5399;514;140;45;53;69;127;141;27274
"42 Santa Catarina";13;25;22;29;25;5;5;1;2;7;15;8;157
"43 Rio Grande do Sul";13;19;25;248;83;4;2;5;1;4;5;14;423
"50 Mato Grosso do Sul";16192;23920;19418;7683;2343;290;112;35;10;53;137;129;70322
"51 Mato Grosso";2639;3213;3768;2248;1487;815;435;261;149;283;542;758;16598
"52 Goiás";1740;2516;3147;2052;1410;791;471;309;192;453;653;1119;14853
"53 Distrito Federal";88;139;235;176;194;78;72;63;29;65;69;46;1254
"Total";38188;66989;107358;105842;73339;30938;20222;12499;7356;9321;12215;16264;500531
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
