DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês Notificação
Período:2011
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";656;598;667;489;203;55;32;55;70;78;29;20;2952
"12 Acre";8524;5106;2982;1436;376;137;63;53;39;52;49;16;18833
"13 Amazonas";8733;20769;21009;5928;2287;1257;585;535;367;299;334;144;62247
"14 Roraima";150;127;172;128;100;120;157;122;72;76;57;16;1297
"15 Pará";3300;4526;3619;1917;886;398;313;381;423;394;480;174;16811
"16 Amapá";516;755;557;364;175;132;48;71;53;86;8;-;2765
"17 Tocantins";839;1040;1202;1109;1628;1274;625;449;404;326;313;105;9314
"21 Maranhão";958;1544;1487;1103;1045;1179;955;1123;442;173;138;100;10247
"22 Piauí";698;1041;1538;1880;1890;1392;704;467;211;4;4;1;9830
"23 Ceará";4899;7997;13517;16626;9925;3524;1318;884;586;542;426;391;60635
"24 Rio Grande do Norte";849;2008;4015;4563;3944;2704;1329;723;307;290;120;2;20854
"25 Paraíba";667;1420;2590;2372;1653;1142;511;259;163;96;43;28;10944
"26 Pernambuco";642;1396;2549;2893;2783;1722;1191;876;631;657;544;186;16070
"27 Alagoas";495;871;1439;1245;1066;736;406;334;394;227;177;89;7479
"28 Sergipe";92;139;233;337;399;320;310;210;153;123;81;43;2440
"29 Bahia";2690;3988;6778;7892;6268;3553;2065;1382;787;612;247;85;36347
"31 Minas Gerais";3478;5282;6392;7410;7196;2019;562;360;263;338;432;421;34153
"32 Espírito Santo";2455;4013;5676;6457;7683;3621;1453;684;239;254;232;105;32872
"33 Rio de Janeiro";4060;14161;27740;48230;38318;13038;4144;1878;1294;1930;1789;1946;158528
"35 São Paulo";3015;9970;21895;35034;29981;5625;1126;616;636;909;337;128;109272
"41 Paraná";1998;6158;10835;6531;2745;326;47;33;39;65;62;55;28894
"42 Santa Catarina";16;24;23;26;24;8;3;5;2;5;2;1;139
"43 Rio Grande do Sul";12;26;70;155;47;8;4;2;4;-;-;3;331
"50 Mato Grosso do Sul";913;1105;1346;1424;814;217;65;70;66;94;78;71;6263
"51 Mato Grosso";1166;835;788;446;279;244;188;191;140;254;324;153;5008
"52 Goiás";3453;4228;4280;4166;3430;1285;568;387;412;552;269;115;23145
"53 Distrito Federal";186;232;268;234;374;129;55;52;31;19;16;11;1607
"Total";55460;99359;143667;160395;125519;46165;18827;12202;8228;8455;6591;4409;689277
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
