DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês Notificação
Período:2008
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1510;1052;1050;1188;323;94;46;14;16;25;82;244;5644
"12 Acre";82;140;162;234;176;95;72;36;90;115;271;755;2228
"13 Amazonas";1134;1716;1536;1417;665;159;130;85;47;105;222;314;7530
"14 Roraima";82;187;224;466;650;467;972;516;450;273;275;366;4928
"15 Pará";4314;3369;2472;2643;832;486;257;127;165;275;348;332;15620
"16 Amapá";150;90;100;133;79;45;18;16;43;71;379;83;1207
"17 Tocantins";2362;2137;1839;2125;898;374;98;48;56;95;134;183;10349
"21 Maranhão";516;950;1340;1668;521;231;84;55;30;19;39;57;5510
"22 Piauí";170;274;582;703;323;219;77;18;24;13;28;33;2464
"23 Ceará";2136;3797;5617;14547;14015;5453;1179;536;367;392;242;319;48600
"24 Rio Grande do Norte";2053;2514;3189;7156;7875;3414;1303;537;284;191;191;178;28885
"25 Paraíba";364;1017;1387;2951;1191;474;163;93;63;46;29;28;7806
"26 Pernambuco";560;851;2036;6364;5222;2106;860;351;168;112;104;64;18798
"27 Alagoas";440;422;772;3984;3752;1470;810;403;410;259;219;195;13136
"28 Sergipe";480;559;1649;7504;8800;1932;256;69;44;62;118;81;21554
"29 Bahia";1194;2522;5007;10642;6539;2555;1148;600;376;689;1267;1430;33969
"31 Minas Gerais";1449;2896;8086;19092;11321;3690;617;201;189;293;563;910;49307
"32 Espírito Santo";468;833;3550;8975;5899;2547;713;376;223;257;620;1396;25857
"33 Rio de Janeiro";13373;19025;53182;71547;27866;6634;2373;1499;718;1389;979;1454;200039
"35 São Paulo";964;1243;2112;3910;1640;573;334;190;141;132;190;297;11726
"41 Paraná";115;142;337;528;268;72;47;53;44;52;68;134;1860
"42 Santa Catarina";9;11;13;25;8;3;4;1;-;1;3;4;82
"43 Rio Grande do Sul";22;22;26;33;16;7;-;2;1;1;3;1;134
"50 Mato Grosso do Sul";127;93;151;174;50;22;16;13;17;23;40;33;759
"51 Mato Grosso";1537;1531;1311;1133;314;146;59;69;106;102;168;307;6783
"52 Goiás";2640;3692;6012;11862;5654;1925;605;347;264;535;764;1233;35533
"53 Distrito Federal";158;144;181;390;225;84;32;37;23;31;18;28;1351
"Total";38409;51229;103923;181394;105122;35277;12273;6292;4359;5558;7364;10459;561659
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
