DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Mês Notificação
Período:2009
"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";636;1139;2171;1095;688;432;339;309;307;978;3805;6837;18736
"12 Acre";2801;5812;5533;1580;840;311;158;111;91;174;537;1458;19406
"13 Amazonas";378;232;194;67;92;60;71;81;42;76;176;200;1669
"14 Roraima";641;688;635;286;175;103;144;169;136;81;99;65;3222
"15 Pará";851;1333;1841;1276;616;390;240;153;133;238;373;222;7666
"16 Amapá";300;361;391;234;106;114;65;46;44;35;19;5;1720
"17 Tocantins";363;393;486;415;375;381;180;130;133;154;360;753;4123
"21 Maranhão";126;224;591;369;461;219;68;36;56;23;13;14;2200
"22 Piauí";123;128;434;708;620;660;544;379;169;115;126;116;4122
"23 Ceará";555;1199;2881;1152;535;374;223;141;129;179;311;402;8081
"24 Rio Grande do Norte";193;252;597;479;278;174;124;145;85;93;142;168;2730
"25 Paraíba";42;59;103;124;114;102;99;59;51;35;84;95;967
"26 Pernambuco";111;162;343;351;396;399;327;238;114;106;171;243;2961
"27 Alagoas";232;237;625;510;623;200;176;394;318;298;239;184;4036
"28 Sergipe";115;105;532;423;331;143;77;67;53;25;23;12;1906
"29 Bahia";6071;14479;33511;25306;10595;4118;1864;1147;665;525;819;1298;100398
"31 Minas Gerais";2506;5710;14456;14153;10043;2947;1079;267;150;278;1020;3259;55868
"32 Espírito Santo";2591;5328;8395;7570;8523;3868;1134;522;198;92;228;431;38880
"33 Rio de Janeiro";1690;1776;1756;1088;731;501;244;102;80;42;175;341;8526
"35 São Paulo";652;895;2076;2648;1966;749;284;152;109;274;439;1959;12203
"41 Paraná";139;148;394;329;236;74;33;32;23;27;64;132;1631
"42 Santa Catarina";8;8;12;5;-;4;-;1;-;1;8;13;60
"43 Rio Grande do Sul";10;12;13;6;5;2;2;1;2;3;2;15;73
"50 Mato Grosso do Sul";60;478;2334;2931;2087;579;215;110;116;199;1231;3142;13482
"51 Mato Grosso";697;1154;3390;9225;8931;3452;2140;1407;1299;2351;7270;11148;52464
"52 Goiás";2055;3260;5775;5756;4081;2223;1366;1682;1302;1892;4546;9752;43690
"53 Distrito Federal";77;97;121;137;131;83;57;33;7;18;44;108;913
"Total";24023;45669;89590;78223;53579;22662;11253;7914;5812;8312;22324;42372;411733
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
